date,尖峰負載(MW)_truth,尖峰負載(MW)_predict
2019-01-02,28148,27811.951625400776
2019-01-03,28452,28327.504931643605
2019-01-04,28490,27802.787181192638
2019-01-05,26054,25926.14016279876
2019-01-06,24617,25350.895500394698
2019-01-07,28536,29049.0462439239
2019-01-08,28719,29218.357738780975
2019-01-09,28641,28764.882339790456
2019-01-10,29006,28862.218691140413
2019-01-11,28798,28108.22762430012
2019-01-12,25905,25834.217696335912
2019-01-13,24629,24869.148625451322
2019-01-14,28348,28393.388687139748
2019-01-15,28887,28622.875698584317
2019-01-16,28649,27798.805084463947
2019-01-17,28395,28296.703176230192
2019-01-18,27756,27694.456162512302
2019-01-19,26477,26417.736681342125
2019-01-20,24539,25083.3265486896
2019-01-21,27739,27583.42897952497
2019-01-22,28140,27445.168356138467
2019-01-23,27838,27777.835728496306
2019-01-24,27863,27858.14252535999
2019-01-25,27296,26959.967780849336
2019-01-26,25282,25169.050250530243
2019-01-27,24414,24348.137260013817
2019-01-28,27557,27417.22951769531
2019-01-29,27858,27565.76621541381
2019-01-30,27760,27955.67787393629
2019-01-31,27181,28063.456532761455
2019-02-01,24709,26768.686680731178
2019-02-02,23382,23954.08493180126
2019-02-03,22915,21701.781838899107
2019-02-04,20214,22029.102914130686
2019-02-05,19992,22343.22281179577
2019-02-06,19936,19643.476357885636
2019-02-07,20938,21358.85258306237
2019-02-08,21581,21563.235667201876
2019-02-09,22436,21797.265135012567
2019-02-10,23236,23224.57184085548
2019-02-11,26667,26769.058999094366
2019-02-12,27768,27187.36169462204
2019-02-13,27699,27935.113671672338
2019-02-14,28250,28405.577341720462
2019-02-15,28262,27833.179593709112
2019-02-16,25432,25941.91556631923
2019-02-17,24343,24419.241068321462
2019-02-18,28645,27245.526603826882
2019-02-19,28876,27587.231906223296
2019-02-20,29078,28565.570947763317
2019-02-21,28912,28875.155256345868
2019-02-22,28420,28102.275601264835
2019-02-23,26723,26308.13131904304
2019-02-24,24694,24912.485324287412
2019-02-25,28084,27539.585827621817
2019-02-26,28390,27550.976635599138
2019-02-27,28013,27135.243651813264
2019-02-28,25472,25621.793422281742
2019-03-01,24689,24022.77600990981
2019-03-02,24734,23057.64556235075
2019-03-03,24102,23438.625292652843
2019-03-04,27688,27582.14455702603
2019-03-05,28241,28069.12851191163
2019-03-06,28032,28567.414521905775
2019-03-07,28147,28744.402292847633
2019-03-08,27951,28109.334108191728
2019-03-09,25870,26176.868138188125
2019-03-10,24801,24545.917748126383
2019-03-11,27730,27605.594545280932
2019-03-12,27936,28051.073650377988
2019-03-13,28145,28448.832917121046
