round_epochs,val_loss,loss,lr,batch_size,dropout,epochs,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
132,0.599933775081191,0.6084419061282355,9e-05,128,0.2,1000,100,300,300,binary_crossentropy,0.3
164,0.5836628328922183,0.5903448734828131,1.0000001e-07,32,0.0,200,300,200,400,binary_crossentropy,0.1
103,0.5839220293732577,0.592263227713132,0.00049,32,0.0,200,300,100,200,binary_crossentropy,0.7
200,0.583843322132909,0.590573878947623,0.00025,128,0.0,200,200,300,100,binary_crossentropy,0.5
135,0.585810584522957,0.5940574104179123,0.00049,16,0.1,200,200,100,50,binary_crossentropy,0.7
157,0.5839699406956518,0.5900878986280285,0.0002401,16,0.0,1000,300,400,200,binary_crossentropy,0.7
200,0.5922535943430524,0.6049757434992131,0.0003,32,0.3,200,200,50,50,binary_crossentropy,0.3
232,0.5855647175811057,0.5969441168771717,1.0000001e-06,128,0.1,1000,200,200,50,binary_crossentropy,0.1
190,0.5833768032317938,0.5901991672410755,0.000125,32,0.0,1000,300,50,300,binary_crossentropy,0.5
192,0.0012894902194222045,0.00027885739208630215,7.29e-07,64,0.0,200,400,100,100,mean_squared_error,0.3
173,0.0013563746288635357,0.0003804651586868929,1e-17,16,0.0,200,200,400,300,mean_squared_error,0.01
144,0.5864317652791046,0.5942039206653893,9e-05,64,0.0,1000,400,400,300,binary_crossentropy,0.3
234,0.0014775868424019495,0.0006581325847319587,3.90625e-06,16,0.1,1000,400,300,50,mean_squared_error,0.5
190,3.367151165008545,3.34321266806914,1.0000001e-06,128,0.0,1000,200,400,100,binary_crossentropy,0.1
166,0.002695847345992576,0.001690762984904205,3.125e-05,128,0.2,1000,100,400,300,mean_squared_error,0.5
200,0.5839611355648484,0.5905846709717729,0.0002401,16,0.0,200,100,300,400,binary_crossentropy,0.7
229,0.5861067572305368,0.5962766392197542,0.000343,128,0.2,1000,400,300,200,binary_crossentropy,0.7
145,0.0017098430674089941,0.0016551879495904894,1.0000001e-07,16,0.2,1000,300,100,50,mean_squared_error,0.1
116,0.0018068771668558203,0.0010584452441932712,1.0000001e-07,32,0.1,1000,100,400,300,mean_squared_error,0.1
132,0.002282088031169287,0.002407789863515384,1.0000001e-09,32,0.2,200,100,200,50,mean_squared_error,0.01
131,0.5870785815771236,0.5911633515644646,1.0000001e-05,64,0.0,200,100,50,400,binary_crossentropy,0.1
116,0.0021289459689585277,0.001947408615292343,1.0000001e-07,128,0.2,1000,200,300,200,mean_squared_error,0.01
122,0.003484617707557803,0.002695571703981899,1.0000001e-09,128,0.2,1000,50,300,300,mean_squared_error,0.01
116,0.595828030275744,0.6031782790749728,9e-05,128,0.3,200,400,200,400,binary_crossentropy,0.3
200,0.5884530746659568,0.5986457361964759,0.00049,16,0.2,200,100,50,50,binary_crossentropy,0.7
110,0.002723562119658603,0.0015046996585203554,1.0000001e-11,32,0.1,1000,50,300,300,mean_squared_error,0.01
121,0.5855342510134675,0.5934489316835193,2.7e-05,16,0.1,1000,400,100,300,binary_crossentropy,0.3
211,0.0017031695937391284,0.0005862421733149905,8.2354294e-05,64,0.1,1000,300,200,200,mean_squared_error,0.7
