round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,batch_size,dropout,epochs,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
109,0.0028004602063447237,0.042950913310050964,0.4304635524749756,0.003408873233869506,0.04524313,0.42293662,1e-09,64,0.2,1000,300,200,400,mean_squared_error,0.001
114,0.0024084511678665876,0.03864700719714165,0.4451718330383301,0.0026924778876633265,0.040439636,0.4359408,1e-09,64,0.1,1000,100,200,200,mean_squared_error,0.001
190,0.0016986146802082658,0.03324858844280243,0.45590677857398987,0.0010613796388303119,0.024869736,0.41662115,1.0000001e-09,64,0.0,1000,300,300,200,mean_squared_error,0.1
169,0.0016137166274711489,0.03190029785037041,0.43768173456192017,0.001026008636905876,0.024726182,0.44571352,6.25e-05,32,0.1,1000,300,300,100,mean_squared_error,0.5
147,0.002071631830185652,0.03517865762114525,0.446388840675354,0.0009139176634558267,0.02350946,0.47034097,1.0000001e-07,16,0.2,1000,50,300,400,mean_squared_error,0.1
164,0.002217390155419707,0.0372033417224884,0.46849483251571655,0.0010611181936116853,0.025631191,0.46382266,6.25e-05,16,0.3,1000,200,50,300,mean_squared_error,0.5
205,0.0019335614517331124,0.03545849770307541,0.4282163083553314,0.002715457267234753,0.040854186,0.43215275,7.29e-07,32,0.3,1000,300,50,100,mean_squared_error,0.3
184,0.0018018275965005159,0.03224457427859306,0.43979349732398987,0.0027867553907058684,0.041638207,0.44895568,1.0000001e-07,32,0.3,1000,100,400,50,mean_squared_error,0.1
218,0.002381059341132641,0.03826485946774483,0.41156455874443054,0.0018343840728831252,0.0334011,0.4146748,1.5625e-05,64,0.2,1000,300,50,300,mean_squared_error,0.5
112,0.0018406742345541715,0.034100886434316635,0.44013911485671997,0.0013428874615759262,0.02869432,0.45530444,1.0000001e-07,32,0.2,1000,400,200,400,mean_squared_error,0.01
173,0.0014766912208870053,0.030594177544116974,0.45695361495018005,0.0007348496384943581,0.020632815,0.47518823,1e-15,128,0.0,1000,300,50,50,mean_squared_error,0.001
125,0.0017174322064965964,0.03317556902766228,0.49898970127105713,0.0009243896195793603,0.023736913,0.4799551,1e-12,16,0.1,1000,100,400,200,mean_squared_error,0.001
180,0.0017711293185129762,0.03355114907026291,0.4429529905319214,0.00035557593180090684,0.013604476,0.48553693,3.125e-05,128,0.0,1000,200,200,400,mean_squared_error,0.5
124,0.003303639004006982,0.04581722617149353,0.4125826358795166,0.0018764019434035389,0.034362514,0.48723772,9e-05,32,0.3,1000,50,100,400,mean_squared_error,0.3
145,0.00444773118942976,0.05224590376019478,0.4107743203639984,0.00471780354464074,0.05393225,0.4713521,1e-12,128,0.3,1000,50,100,100,mean_squared_error,0.001
113,0.0032234231568872927,0.046185895800590515,0.44067251682281494,0.003725928291113205,0.0483517,0.47897643,1e-09,32,0.3,1000,200,200,100,mean_squared_error,0.001
133,0.0017636932246387004,0.03402429074048996,0.4495311975479126,0.002142591369265736,0.036306135,0.45505473,1.0000001e-11,32,0.1,1000,400,200,100,mean_squared_error,0.01
149,0.003978464286774397,0.04958757013082504,0.38698622584342957,0.003203505356661262,0.04420574,0.47298557,1e-12,128,0.2,1000,50,100,200,mean_squared_error,0.001
121,0.0017064960580319166,0.03331819176673889,0.5028854012489319,0.0011379203379552455,0.026218446,0.4736728,1.0000001e-07,16,0.1,1000,200,400,50,mean_squared_error,0.01
