round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
162,0.0018882013391703367,0.03293359652161598,0.47097840905189514,0.0005000315309462775,0.016711589,0.4833089,1e-15,128,0.0,200,100,400,mean_squared_error,0.001
173,0.0016138505609706044,0.03154255077242851,0.4426777958869934,0.0005539053574814783,0.018473504,0.46332008,1.5625e-05,16,0.1,300,300,100,mean_squared_error,0.5
141,0.001869134707376361,0.03284847363829613,0.500756561756134,0.001025292636817041,0.02477044,0.48441628,1.0000001e-11,32,0.0,50,400,50,mean_squared_error,0.01
117,0.003127863332629204,0.04170725867152214,0.4792957901954651,0.003143722323684192,0.04459772,0.48617083,9e-05,32,0.3,100,200,50,mean_squared_error,0.3
87,0.003722453722730279,0.048367198556661606,0.47508299350738525,0.004009291963684963,0.049994078,0.4898683,1e-09,64,0.2,200,400,400,mean_squared_error,0.001
121,0.0016949790576472879,0.03308342397212982,0.4197555184364319,0.0006853066634216693,0.02013004,0.48316866,1.0000001e-06,16,0.1,400,300,400,mean_squared_error,0.1
104,0.0026725772861391304,0.0396670401096344,0.500744640827179,0.0034322669998719823,0.046184167,0.45737612,1.0000001e-09,32,0.3,100,300,100,mean_squared_error,0.01
175,0.0017807503743097186,0.03406026214361191,0.478271484375,0.0010482471406186012,0.025375275,0.4795245,1.5625e-05,32,0.2,400,400,300,mean_squared_error,0.5
92,0.0030694194976240395,0.04293689876794815,0.4872269034385681,0.0032349190527452922,0.045168627,0.5121599,1e-12,32,0.2,100,400,100,mean_squared_error,0.001
107,0.0030029970221221447,0.04235042259097099,0.4882942736148834,0.0025536613621829876,0.039226588,0.4928124,2.7e-05,128,0.1,50,400,200,mean_squared_error,0.3
172,0.0019293895456939936,0.03414454683661461,0.48264461755752563,0.0010134737032729063,0.024648758,0.5066153,1.0000001e-07,64,0.0,200,100,400,mean_squared_error,0.1
137,0.0020978336688131094,0.03574192523956299,0.45847174525260925,0.0022716782157431734,0.037453476,0.49057263,1.0000001e-09,128,0.2,400,400,200,mean_squared_error,0.01
99,0.0022819867637008428,0.03785264492034912,0.41325223445892334,0.0008512611782493563,0.022569288,0.48429966,9e-05,16,0.1,100,50,400,mean_squared_error,0.3
160,0.0019838661141693592,0.03576866537332535,0.4211689233779907,0.0019305676231181502,0.03428799,0.45759767,1e-18,16,0.1,200,50,50,mean_squared_error,0.001
114,0.002368251094594598,0.03911562263965607,0.46688735485076904,0.0043907854063042285,0.052859258,0.47775897,1e-09,128,0.2,200,300,50,mean_squared_error,0.001
125,0.003643129952251911,0.04874385893344879,0.45973148941993713,0.0034742787086771997,0.046645064,0.46271443,1e-09,64,0.3,200,100,400,mean_squared_error,0.001
120,0.0019099315023049712,0.033183783292770386,0.4283958077430725,0.00040790945914302246,0.015152446,0.48337546,1.0000001e-11,16,0.0,200,100,200,mean_squared_error,0.01
100,0.0028690879698842764,0.04306861758232117,0.4768211245536804,0.003927824570214529,0.049201563,0.489512,1e-09,64,0.1,400,300,100,mean_squared_error,0.001
169,0.002470948500558734,0.03838352486491203,0.4950494170188904,0.0011403381875441316,0.025852293,0.49195692,2.43e-06,64,0.0,100,50,100,mean_squared_error,0.3
139,0.0018396384548395872,0.03212861716747284,0.47524747252464294,0.0009168050811161393,0.023318917,0.5131657,1.0000001e-05,64,0.0,100,300,100,mean_squared_error,0.1
135,0.001743946922942996,0.03234776854515076,0.4768211245536804,0.00041222146192134123,0.014878329,0.48212534,1.0000001e-06,128,0.0,400,200,400,mean_squared_error,0.1
113,0.002800009213387966,0.04164453595876694,0.47097840905189514,0.003171494263296901,0.044422425,0.4926308,1e-12,128,0.2,200,200,200,mean_squared_error,0.001
107,0.0038285451754927636,0.04926230385899544,0.4815516471862793,0.002354667938800782,0.038050726,0.44657883,1e-09,32,0.2,50,300,200,mean_squared_error,0.001
124,0.0034027072973549367,0.04685157909989357,0.45184779167175293,0.002023013172264653,0.03543157,0.48201555,1e-09,32,0.1,100,50,300,mean_squared_error,0.001
130,0.0019432182796299457,0.03370155021548271,0.48684799671173096,0.0007882740128905157,0.021876322,0.4773781,1.0000001e-07,32,0.0,100,100,300,mean_squared_error,0.1
115,0.002449462991207838,0.03817623481154442,0.4205250144004822,0.001337007177373465,0.028731836,0.491549,0.000125,16,0.1,50,200,50,mean_squared_error,0.5
