round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,learning_rate,losses,lr_reduce_rate
187,0.002269478403031826,0.036414697766304016,0.46586552262306213,0.0015369984721879005,0.030159768,0.46986917,2.43e-06,relu,16,0.2,50,50,400,0.1,mean_squared_error,0.3
254,0.0021418447140604258,0.035153042525053024,0.4754357933998108,0.0032303508714397328,0.04509445,0.4836867,1e-18,relu,128,0.2,400,50,50,0.001,mean_squared_error,0.001
171,0.002364968489855528,0.036699097603559494,0.4653300940990448,0.002139906346837353,0.035951957,0.44946757,1.0000001e-09,relu,32,0.2,400,50,200,0.01,mean_squared_error,0.01
244,0.0016760464198887347,0.03086126036942005,0.46360474824905396,0.0015032704699709846,0.03126319,0.4546222,1.5625e-05,relu,16,0.3,400,100,50,0.0001,mean_squared_error,0.5
164,0.0032459991052746773,0.04469265788793564,0.47987112402915955,0.004220352704659569,0.049261205,0.40142134,1e-18,elu,64,0.1,100,200,400,0.1,mean_squared_error,0.001
185,0.00236872979439795,0.036615729331970215,0.48319998383522034,0.0017686621278196672,0.032127965,0.46722466,1.0000001e-07,elu,128,0.0,400,200,50,0.1,mean_squared_error,0.1
175,0.0022934792097657917,0.03671270236372948,0.4710620641708374,0.0018603421648122154,0.032849547,0.45306602,1e-18,elu,32,0.0,300,100,400,0.001,mean_squared_error,0.001
252,0.0025209442246705294,0.03954153507947922,0.4760383069515228,0.004398053222883468,0.05236487,0.48598617,7.8125e-06,elu,64,0.2,400,100,50,0.01,mean_squared_error,0.5
127,0.002220959281548858,0.03646693751215935,0.48174405097961426,0.001709469830262618,0.031384245,0.47048387,1.0000001e-06,elu,32,0.0,200,400,50,0.1,mean_squared_error,0.1
218,0.0017133891908451915,0.030956847593188286,0.4731190502643585,0.0008714617780183663,0.022378277,0.46757945,2.1870001e-07,elu,16,0.0,400,100,200,0.001,mean_squared_error,0.3
208,0.0026011306326836348,0.03790777921676636,0.4793650507926941,0.0019264395228423229,0.03309888,0.46617836,1.0000001e-07,elu,128,0.0,50,400,400,0.001,mean_squared_error,0.1
127,0.0025937319919466973,0.03846757486462593,0.45875900983810425,0.002797133326872702,0.04092252,0.4830825,1.0000001e-07,elu,32,0.1,100,300,200,0.01,mean_squared_error,0.1
288,0.0020016536861658094,0.034061502665281296,0.47685179114341736,0.001293398749849703,0.027529359,0.43679363,7.8125e-06,elu,32,0.1,100,400,400,0.01,mean_squared_error,0.5
196,0.0023354461695998907,0.03647839277982712,0.4669906198978424,0.00202247040203144,0.03477694,0.48152283,7.29e-07,elu,32,0.1,100,100,400,0.1,mean_squared_error,0.3
151,0.003171944059431553,0.0431206040084362,0.4632587134838104,0.0035542356063464537,0.046085972,0.4063282,1.0000001e-11,elu,64,0.1,100,200,200,0.0001,mean_squared_error,0.01
140,0.0024875541031360625,0.03743584454059601,0.47335219383239746,0.0024829682720854114,0.038582865,0.48229587,1.0000001e-06,elu,32,0.2,50,300,300,0.01,mean_squared_error,0.1
187,0.0020534477289766073,0.03460972383618355,0.46857747435569763,0.002473050664139617,0.039294172,0.468804,1.0000001e-08,elu,16,0.2,100,100,50,0.01,mean_squared_error,0.1
174,0.00272168405354023,0.04052608832716942,0.477848082780838,0.003748663821421514,0.048200984,0.46258318,1e-15,elu,128,0.1,300,100,50,0.1,mean_squared_error,0.001
