round_epochs,val_loss,val_mse,val_mae,loss,mse,mae,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,learning_rate,losses,lr_reduce_rate
183,0.004328250419348478,0.004328250419348478,0.04980422183871269,0.0033776631007243724,0.003377663,0.04389049,1e-18,relu,128,0.0,50,400,100,0.01,mean_squared_error,0.001
233,0.001562622776772413,0.0015626228414475918,0.0298286285251379,0.0011096317836045756,0.0011096318,0.025220567,1.0000001e-24,relu,32,0.0,400,400,100,0.0001,mean_squared_error,0.001
252,0.0019844932378166253,0.0019844931084662676,0.03388497233390808,0.0014543099809587409,0.00145431,0.02900158,1.0000001e-24,elu,32,0.0,100,300,200,0.001,mean_squared_error,0.001
321,0.0016750133492880398,0.001675013336353004,0.031003206968307495,0.0012230962475709547,0.0012230963,0.026151538,1.0000001e-11,relu,64,0.0,200,100,50,0.1,mean_squared_error,0.1
245,0.002190240917520391,0.002190240891650319,0.035506471991539,0.0016146132249582408,0.0016146131,0.03053505,1.0000001e-24,elu,32,0.0,100,50,100,0.01,mean_squared_error,0.001
477,0.002082096878439188,0.002082096878439188,0.03395266830921173,0.0013988001230013241,0.0013988002,0.027447375,3.051758e-08,relu,128,0.0,200,300,200,0.001,mean_squared_error,0.5
226,0.0012483402129469647,0.001248340355232358,0.025669723749160767,0.0007548058551309682,0.000754806,0.020698868,1e-15,elu,16,0.0,300,200,300,0.001,mean_squared_error,0.01
283,0.0014534091525193718,0.0014534092042595148,0.028342537581920624,0.001047318242055094,0.0010473181,0.02476616,1.0000001e-24,elu,32,0.0,400,100,200,0.0001,mean_squared_error,0.001
325,0.0009651899842234949,0.0009651900036260486,0.02302907221019268,0.0002782882024052428,0.00027828815,0.012186572,9.765625e-07,relu,16,0.0,200,50,100,0.01,mean_squared_error,0.5
289,0.0013724015766961707,0.0013724016025662422,0.027728386223316193,0.0010037855477278291,0.0010037855,0.023391677,1.0000001e-10,relu,64,0.0,300,100,100,0.0001,mean_squared_error,0.1
265,0.0023022847146623665,0.002302284585312009,0.03609153628349304,0.0017303174994073552,0.0017303175,0.03107655,6.561e-08,relu,64,0.0,100,200,50,0.001,mean_squared_error,0.3
267,0.001063307954205407,0.0010633079800754786,0.023036692291498184,0.00043525420128573834,0.0004352542,0.0151874535,1.9683e-08,relu,32,0.0,400,400,300,0.0001,mean_squared_error,0.3
279,0.0023810644634068012,0.0023810644634068012,0.036306045949459076,0.0019263514829654467,0.0019263513,0.032883372,6.561e-08,relu,128,0.0,400,400,50,0.0001,mean_squared_error,0.3
241,0.0030673913554184968,0.0030673914588987827,0.04138810187578201,0.0025170823523623874,0.0025170823,0.03809979,1.0000001e-24,elu,64,0.0,50,300,300,0.001,mean_squared_error,0.001
237,0.0014611029635286992,0.001461102976463735,0.028249680995941162,0.0005728709081701377,0.00057287095,0.017427096,1.0000001e-10,relu,16,0.0,50,300,400,0.01,mean_squared_error,0.1
210,0.001361036918953889,0.0013610369060188532,0.027121255174279213,0.000981667213580017,0.0009816672,0.024066547,1.0000001e-21,elu,16,0.0,400,50,400,0.01,mean_squared_error,0.001
391,0.002979886019602418,0.002979886019602418,0.04111125320196152,0.0024424005101066418,0.0024424007,0.03731008,4.782969e-11,elu,128,0.0,100,200,100,0.0001,mean_squared_error,0.3
250,0.0019643372959560817,0.0019643371924757957,0.033257100731134415,0.0016741488938367812,0.001674149,0.03136989,1e-15,elu,64,0.0,400,50,50,0.1,mean_squared_error,0.01
303,0.0015089557532014118,0.0015089557273313403,0.028582863509655,0.0009464606340986175,0.00094646076,0.023235945,1.7714701e-09,elu,32,0.0,400,200,400,0.01,mean_squared_error,0.3
269,0.0013132805987778637,0.0013132806634530425,0.026583608239889145,0.0003983249460423882,0.00039832498,0.014719137,2.1870001e-07,elu,16,0.0,50,400,200,0.0001,mean_squared_error,0.3
239,0.0013752593658864498,0.0013752593658864498,0.027163967490196228,0.0008373490383854351,0.0008373491,0.021467455,1e-15,relu,32,0.0,200,50,400,0.001,mean_squared_error,0.01
329,0.001619106624275446,0.001619106624275446,0.030212538316845894,0.0009843196733122128,0.0009843196,0.023130883,4.882813e-07,relu,64,0.0,200,50,400,0.0001,mean_squared_error,0.5
248,0.001843359787017107,0.001843359787017107,0.03233173489570618,0.0013348017209949337,0.0013348017,0.02800937,1.0000001e-24,elu,32,0.0,300,50,400,0.0001,mean_squared_error,0.001
225,0.001691997516900301,0.001691997516900301,0.030348297208547592,0.0009140655742174833,0.00091406563,0.022341073,1e-15,relu,32,0.0,100,300,300,0.01,mean_squared_error,0.01
426,0.0023872314486652613,0.0023872314486652613,0.036513667553663254,0.0016616170591605113,0.0016616173,0.030065121,1.594323e-10,relu,128,0.0,100,200,300,0.0001,mean_squared_error,0.3
