round_epochs,val_loss,loss,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
277,0.002457288882902099,0.0010218040075086383,5.9049e-09,relu,16,0.1,50,300,50,mean_squared_error,0.3
292,0.0015353069692436191,0.00027186639089793013,1.00000015e-14,relu,16,0.0,300,100,200,mean_squared_error,0.1
268,0.0020168304391619232,0.0005261601981376167,1e-25,relu,16,0.0,50,200,200,mean_squared_error,0.01
253,0.002506663298441304,0.001961042106113864,1.0000001e-30,relu,16,0.1,400,100,50,mean_squared_error,0.001
278,0.0023890214247836005,0.0007487607382185687,5.9049e-09,relu,16,0.1,200,100,100,mean_squared_error,0.3
285,0.0021452023130324152,0.0011505730652520171,1e-39,relu,16,0.0,300,50,300,mean_squared_error,0.001
326,0.0015934466436091396,3.573655141885965e-05,1.2207032e-07,relu,16,0.0,200,400,200,mean_squared_error,0.5
260,0.0022661057042164933,0.0009835651485290019,1e-21,relu,16,0.1,300,400,300,mean_squared_error,0.01
250,0.0027595325890514585,0.0020862723968348633,1e-43,relu,16,0.1,100,100,50,mean_squared_error,0.0001
291,0.0028975926236146027,0.0008343681959635535,1.00000015e-14,relu,16,0.1,200,100,300,mean_squared_error,0.1
343,0.0016657294343329137,0.0002554238736958604,5.31441e-10,relu,16,0.0,100,50,100,mean_squared_error,0.3
239,0.0032698321156203747,0.001337938807103957,1e-21,relu,16,0.1,50,50,200,mean_squared_error,0.01
301,0.0022043183368320265,0.0023815714619253004,1.0000001e-36,relu,16,0.1,400,300,50,mean_squared_error,0.001
248,0.00214471862030526,0.001121513160544729,1e-43,relu,16,0.0,100,100,50,mean_squared_error,0.0001
264,0.003062611963185999,0.0011213418521346798,1.00000015e-14,relu,16,0.1,400,100,200,mean_squared_error,0.1
290,0.001598307099710736,0.00026728408093133727,1.00000015e-14,relu,16,0.0,400,300,200,mean_squared_error,0.1
357,0.0015844386976419224,0.0001747641429367455,3.051758e-08,relu,16,0.0,200,100,50,mean_squared_error,0.5
288,0.002180404288487302,0.0011243647018105163,1e-39,relu,16,0.0,400,100,300,mean_squared_error,0.001
301,0.0017791265595911278,0.00048561088361478527,1e-25,relu,16,0.0,300,50,300,mean_squared_error,0.01
324,0.001699329690179891,0.0002940407412154223,1.594323e-10,relu,16,0.0,100,50,300,mean_squared_error,0.3
277,0.0018004848647655712,0.0005267507315401533,1.0000001e-36,relu,16,0.0,100,400,400,mean_squared_error,0.001
252,0.002514827298000455,0.001524020245333559,1e-39,relu,16,0.0,100,400,400,mean_squared_error,0.0001
263,0.001975783108112713,0.0008483803308803902,1e-25,relu,16,0.0,200,100,200,mean_squared_error,0.01
272,0.0027195188320345348,0.0022011797989767937,1e-25,relu,16,0.1,400,100,50,mean_squared_error,0.01
349,0.0016493244200117057,6.303325525014966e-05,1.2207032e-07,relu,16,0.0,400,50,200,mean_squared_error,0.5
317,0.001696276090418299,7.012359136216415e-05,1.2207032e-07,relu,16,0.0,100,200,400,mean_squared_error,0.5
234,0.0039100852898425525,0.002638004666536675,1e-39,relu,16,0.1,200,50,50,mean_squared_error,0.0001
310,0.0017420855195571978,0.0005946241861725707,1e-27,relu,16,0.0,400,50,200,mean_squared_error,0.01
292,0.0018632530441714658,0.00037779453329486636,1.7714701e-09,relu,16,0.1,200,300,400,mean_squared_error,0.3
265,0.003971167322662141,0.002058209799523132,1e-39,relu,16,0.1,100,50,100,mean_squared_error,0.0001
318,0.00212046522129741,0.0001517096838612937,5.31441e-10,relu,16,0.0,50,200,300,mean_squared_error,0.3
365,0.001297501239201261,3.4109823756008604e-05,3.051758e-08,relu,16,0.0,200,300,300,mean_squared_error,0.5
349,0.001803646743711498,0.0005928575309868206,6.103516e-08,relu,16,0.1,50,200,100,mean_squared_error,0.5
277,0.0019876813878201777,0.001803020338855707,1.00000015e-14,relu,16,0.1,200,200,50,mean_squared_error,0.1
230,0.0028323792955941623,0.0017322980870588499,1e-43,relu,16,0.0,200,400,300,mean_squared_error,0.0001
286,0.001510751317255199,0.0002453624614209047,1.00000015e-14,relu,16,0.0,200,300,300,mean_squared_error,0.1
217,0.004723524985214074,0.0020666938924993683,1.0000001e-30,relu,16,0.1,300,50,400,mean_squared_error,0.001
299,0.0018677500128332111,0.0005664276164039575,1.0000001e-36,relu,16,0.0,100,200,100,mean_squared_error,0.001
258,0.0019846102610851326,0.0015783473810128798,1e-25,relu,16,0.1,100,400,100,mean_squared_error,0.01
234,0.002723408086846272,0.0012123314540461866,1e-21,relu,16,0.1,300,300,400,mean_squared_error,0.01
292,0.002172776006369127,0.00038370295073960345,4.882813e-07,relu,16,0.1,50,200,400,mean_squared_error,0.5
316,0.001737376222283476,5.663413175400216e-05,1.2207032e-07,relu,16,0.0,400,200,300,mean_squared_error,0.5
326,0.0017397006870143944,0.00011628984737688148,5.31441e-10,relu,16,0.0,50,300,100,mean_squared_error,0.3
236,0.002565252956830793,0.002015903074950026,1e-43,relu,16,0.1,50,200,100,mean_squared_error,0.0001
297,0.0020753060622761645,0.0018885255794148206,1e-25,relu,16,0.1,100,300,50,mean_squared_error,0.01
319,0.0017060130679359038,0.0005667589435671569,5.31441e-10,relu,16,0.1,200,300,200,mean_squared_error,0.3
385,0.0016419548127386305,0.000637763036223494,3.051758e-08,relu,16,0.1,200,200,50,mean_squared_error,0.5
273,0.0026294665100673833,0.0010021230263194516,1.0000001e-30,relu,16,0.1,300,300,400,mean_squared_error,0.001
219,0.003732341393414471,0.003238542319487235,1e-39,relu,16,0.1,400,100,50,mean_squared_error,0.0001
258,0.0033030881960358885,0.0019963473397832236,1e-43,relu,16,0.1,200,400,200,mean_squared_error,0.0001
266,0.0020334721905075842,0.0009286431515443565,1.7714701e-09,relu,16,0.1,300,200,100,mean_squared_error,0.3
303,0.0021647376836174065,0.0005951736892941277,1.00000015e-14,relu,16,0.1,200,200,400,mean_squared_error,0.1
301,0.0020833552504579225,0.0015587612656177228,1e-25,relu,16,0.1,400,300,100,mean_squared_error,0.01
242,0.0028338846750557423,0.0020797366662258484,1e-23,relu,16,0.1,100,50,100,mean_squared_error,0.01
282,0.0018898564546058576,0.000382946350381817,1.00000015e-14,relu,16,0.0,50,400,100,mean_squared_error,0.1
233,0.002336988587760263,0.0016873040174154384,1.0000001e-30,relu,16,0.1,100,200,100,mean_squared_error,0.001
288,0.002011003205552697,0.0009154514908265451,1.0000001e-36,relu,16,0.0,100,100,100,mean_squared_error,0.001
347,0.0015654741631199915,0.00027094282456213096,4.782969e-11,relu,16,0.0,300,50,300,mean_squared_error,0.3
247,0.0023418355526195634,0.002380171454166326,1e-39,relu,16,0.1,300,400,50,mean_squared_error,0.0001
332,0.0016408165554619497,3.317270379441558e-05,2.4414064e-07,relu,16,0.0,300,200,200,mean_squared_error,0.5
318,0.001896854632327126,0.00030888257221089576,4.882813e-07,relu,16,0.1,400,200,300,mean_squared_error,0.5
306,0.0021624796661651796,0.0011528348173029325,1.7714701e-09,relu,16,0.1,300,50,50,mean_squared_error,0.3
214,0.004784419615235593,0.0019093452393573439,1e-21,relu,16,0.1,200,50,400,mean_squared_error,0.01
261,0.003650188446044922,0.002220883351138494,1e-39,relu,16,0.1,300,100,100,mean_squared_error,0.0001
289,0.001715982048254874,0.00042792798579899694,1e-25,relu,16,0.0,100,300,100,mean_squared_error,0.01
228,0.005615965049299929,0.0015292489847510682,1e-21,relu,16,0.1,300,50,400,mean_squared_error,0.01
264,0.002299414093916615,0.0009814933674247512,1e-21,relu,16,0.1,300,200,200,mean_squared_error,0.01
256,0.0019560226291004154,0.0009066953510191071,1e-25,relu,16,0.0,100,100,50,mean_squared_error,0.01
339,0.0016282843425869942,2.1077476822453983e-05,1.2207032e-07,relu,16,0.0,300,200,300,mean_squared_error,0.5
293,0.001896913409129613,0.0011320168356812991,1e-25,relu,16,0.1,100,200,100,mean_squared_error,0.01
282,0.002690117030094067,0.0011557041376544818,1.00000015e-14,relu,16,0.1,200,50,100,mean_squared_error,0.1
290,0.001809124472654528,0.00041345121743153156,1.0000001e-15,relu,16,0.0,400,100,300,mean_squared_error,0.1
327,0.0014890629229032332,0.0003579926257807982,1.0000001e-15,relu,16,0.0,400,100,50,mean_squared_error,0.1
243,0.0026082758688264424,0.0016103700830418374,1e-23,relu,16,0.1,50,100,100,mean_squared_error,0.01
312,0.001883826425506009,0.0005042508003886534,5.31441e-10,relu,16,0.1,200,200,300,mean_squared_error,0.3
247,0.003068116286562549,0.0008380538943539899,1.0000001e-12,relu,16,0.1,400,100,400,mean_squared_error,0.1
269,0.0019017955572861764,0.0007522103078938975,1e-25,relu,16,0.0,300,300,300,mean_squared_error,0.01
228,0.003059287348555194,0.0015876217802545502,1e-39,relu,16,0.0,300,200,400,mean_squared_error,0.0001
341,0.001644945755187008,0.00013138153157784456,1.594323e-10,relu,16,0.0,400,50,300,mean_squared_error,0.3
245,0.0027838952891114685,0.0011976770338576253,1e-21,relu,16,0.1,400,400,300,mean_squared_error,0.01
215,0.00537225366052654,0.0017237148372415813,1e-21,relu,16,0.1,100,50,300,mean_squared_error,0.01
281,0.0018716049380600452,0.0006477039189852565,1e-25,relu,16,0.0,200,400,400,mean_squared_error,0.01
262,0.002271700883284211,0.0009599833599091551,1e-43,relu,16,0.0,100,200,100,mean_squared_error,0.0001
359,0.0020754834404215217,9.259633472787886e-05,1.2207032e-07,relu,16,0.0,50,200,100,mean_squared_error,0.5
257,0.002230596754492985,0.0009677902136412899,1.0000001e-13,relu,16,0.1,300,300,200,mean_squared_error,0.1
246,0.002230064891692665,0.000594530911025275,1.0000001e-12,relu,16,0.1,100,300,400,mean_squared_error,0.1
302,0.001846727113135987,0.00039168748485266794,1.0000001e-15,relu,16,0.0,100,300,50,mean_squared_error,0.1
298,0.00206319165105621,0.0010999451373991007,1e-25,relu,16,0.1,200,200,100,mean_squared_error,0.01
214,0.004053565828750531,0.0018369943571546784,1e-21,relu,16,0.1,50,50,300,mean_squared_error,0.01
299,0.0020418219371802276,0.0003506244306026079,2.4414064e-07,relu,16,0.1,400,400,300,mean_squared_error,0.5
303,0.0019671618291694257,0.0013845944058148603,1e-25,relu,16,0.1,100,200,50,mean_squared_error,0.01
236,0.0031508630555537012,0.001986123783212167,1e-39,relu,16,0.1,100,100,100,mean_squared_error,0.0001
241,0.0034500560205843714,0.0010797245109909303,1e-21,relu,16,0.1,300,200,400,mean_squared_error,0.01
319,0.0018339133304026392,0.0007993111088059587,0.0,relu,16,0.0,300,100,100,mean_squared_error,0.0001
327,0.0017495389717320602,0.0005936441385271347,1e-39,relu,16,0.0,400,300,200,mean_squared_error,0.001
284,0.003013267130073574,0.0016690668159649008,1e-39,relu,16,0.1,300,50,100,mean_squared_error,0.0001
241,0.002824243778983752,0.0016373724428606089,1e-43,relu,16,0.0,200,200,200,mean_squared_error,0.0001
323,0.0016853119401882093,0.00020425616858006277,1.0000001e-13,relu,16,0.0,100,50,300,mean_squared_error,0.1
266,0.001968638363501264,0.0010771151413383816,1e-25,relu,16,0.0,300,100,50,mean_squared_error,0.01
337,0.0016475147826390134,0.0002621877661977265,1.0000001e-15,relu,16,0.0,300,50,200,mean_squared_error,0.1
294,0.002030562014422483,0.0007832464265181593,1e-39,relu,16,0.0,200,300,400,mean_squared_error,0.001
300,0.0020283471482495465,0.0012041643346047662,0.0,relu,16,0.0,400,100,100,mean_squared_error,0.0001
226,0.005525470504330264,0.002791919849952248,1e-43,relu,16,0.1,100,50,200,mean_squared_error,0.0001
239,0.0029803047267099223,0.0024949992793638293,1e-43,relu,16,0.1,50,100,50,mean_squared_error,0.0001
317,0.002115170212669505,0.0009466061915120116,1.2207032e-07,relu,16,0.1,200,50,50,mean_squared_error,0.5
301,0.002313326462171972,0.0003520504648926323,5.31441e-10,relu,16,0.0,50,50,300,mean_squared_error,0.3
293,0.0016660114051774144,0.00040811457488260805,1.0000001e-15,relu,16,0.0,300,300,100,mean_squared_error,0.1
213,0.004061592484099997,0.0013032490264252988,1.0000001e-13,relu,16,0.1,300,100,400,mean_squared_error,0.1
348,0.001766661958148082,0.0005982379748912476,3.051758e-08,relu,16,0.1,200,300,100,mean_squared_error,0.5
314,0.002484297819642557,0.00014477722526290304,2.4414064e-07,relu,16,0.0,50,100,300,mean_squared_error,0.5
231,0.0037134849052462312,0.0011471317539925793,1.0000001e-13,relu,16,0.1,300,50,300,mean_squared_error,0.1
303,0.0016504608405133088,0.0003788569798682906,1.0000001e-15,relu,16,0.0,400,200,100,mean_squared_error,0.1
243,0.0026482557877898216,0.0015476044337047596,1e-43,relu,16,0.1,100,400,200,mean_squared_error,0.0001
285,0.0017831000732257962,0.00037233602122122255,1.00000015e-14,relu,16,0.0,200,50,400,mean_squared_error,0.1
222,0.005006783745355076,0.001587032509831323,1e-21,relu,16,0.1,400,100,400,mean_squared_error,0.01
311,0.0014838404927609696,0.00011679253670948374,5.31441e-10,relu,16,0.0,200,200,400,mean_squared_error,0.3
262,0.0021066037006676197,0.0006371076666039917,1e-25,relu,16,0.0,50,300,200,mean_squared_error,0.01
277,0.0029250599909573793,0.0006543472206156202,5.31441e-10,relu,16,0.1,400,50,400,mean_squared_error,0.3
279,0.0026999119565718705,0.0015354083930403343,1.0000001e-33,relu,16,0.1,50,50,100,mean_squared_error,0.001
255,0.0030479576800846392,0.0008993370776177845,1.0000001e-12,relu,16,0.1,50,50,300,mean_squared_error,0.1
298,0.002315237367939618,0.0009015415500663801,1.7714701e-09,relu,16,0.1,50,100,100,mean_squared_error,0.3
323,0.0016148476861417294,0.00029150654195163783,1.0000001e-15,relu,16,0.0,300,200,50,mean_squared_error,0.1
321,0.0015051214076164695,0.00034077476547312717,1.00000015e-14,relu,16,0.0,400,50,100,mean_squared_error,0.1
321,0.0016859562860594855,3.6263843992011656e-05,1.2207032e-07,relu,16,0.0,300,400,300,mean_squared_error,0.5
278,0.0023666998216261468,0.0017991012578461656,1.0000001e-33,relu,16,0.1,50,50,50,mean_squared_error,0.001
296,0.0020471245516091585,0.0007552755332908759,1e-25,relu,16,0.0,50,50,100,mean_squared_error,0.01
267,0.0018255434438793196,0.000758227617682953,1e-25,relu,16,0.0,200,300,400,mean_squared_error,0.01
296,0.0018754658392733997,0.000696790374879293,1.0000001e-36,relu,16,0.0,300,400,400,mean_squared_error,0.001
245,0.003587253029561705,0.0019872505337469905,1e-21,relu,16,0.1,400,50,100,mean_squared_error,0.01
266,0.0021535983153929314,0.0006420049644829676,1e-25,relu,16,0.0,50,100,300,mean_squared_error,0.01
371,0.001612951746210456,0.0003373509712119781,6.103516e-08,relu,16,0.1,300,300,200,mean_squared_error,0.5
345,0.0015120432944968343,0.000116067669613503,5.31441e-10,relu,16,0.0,400,100,200,mean_squared_error,0.3
272,0.0017094283442323406,0.00042730423830728107,1.0000001e-15,relu,16,0.0,200,300,100,mean_squared_error,0.1
286,0.0020719553576782346,0.0008732095821158572,0.0,relu,16,0.0,50,300,100,mean_squared_error,0.0001
277,0.0019957818634187183,0.0006983307642844793,1e-25,relu,16,0.0,400,50,300,mean_squared_error,0.01
301,0.001508745041468905,0.0001591903825197659,5.31441e-10,relu,16,0.0,300,200,200,mean_squared_error,0.3
273,0.0023255965982874236,0.0009417158071527612,1.7714701e-09,relu,16,0.1,200,50,100,mean_squared_error,0.3
235,0.0033168975884715715,0.002201506343591854,1e-23,relu,16,0.1,50,50,100,mean_squared_error,0.01
251,0.0025332363632818065,0.0020032787769510645,1e-39,relu,16,0.1,300,300,300,mean_squared_error,0.0001
