Date,PeakingPower(MW),NetPeakingPower(MW),ReserveMargin(MW),Percent Reserve Margin(%),IndustryElec(kW),Elec(kW),isHoliday,isHoliday(Next7)
2016/1/1,23038,25366,2328,10.11,263.799,189.3,1,0
2016/1/2,23209,25179,1970,8.49,261.975,187.991,1,1
2016/1/3,23686,26219,2533,10.69,266.167,190.999,1,1
2016/1/4,27518,29528,2010,7.31,302.227,216.875,0,0
2016/1/5,27635,29735,2100,7.6,313.328,224.841,0,0
2016/1/6,27278,30424,3146,11.53,311.174,223.296,0,0
2016/1/7,27210,30137,2927,10.76,307.244,220.475,0,0
2016/1/8,26400,28713,2313,8.76,304.049,218.183,0,0
2016/1/9,24308,27127,2819,11.6,282.141,202.461,1,1
2016/1/10,23490,25374,1884,8.02,267.17,191.718,1,1
2016/1/11,27207,28904,1697,6.24,302.529,217.091,0,0
2016/1/12,26747,30325,3578,13.38,304.97,218.844,0,0
2016/1/13,26951,30162,3211,11.91,307.894,220.942,0,0
2016/1/14,26898,30778,3880,14.43,307.045,220.332,0,0
2016/1/15,26797,29930,3133,11.69,307.694,220.799,0,0
2016/1/16,23911,26768,2857,11.95,275.077,197.392,1,1
2016/1/17,23956,26311,2355,9.83,271.721,194.984,1,1
2016/1/18,26443,29689,3246,12.27,295.183,211.82,0,0
2016/1/19,26937,30024,3087,11.46,305.449,219.188,0,0
2016/1/20,27038,29909,2871,10.62,307.466,220.634,0,0
2016/1/21,27091,29817,2726,10.06,309.751,222.275,0,0
2016/1/22,26563,29264,2701,10.17,307.307,220.521,0,0
2016/1/23,24997,27046,2049,8.2,290.329,208.338,1,0
2016/1/24,25062,26657,1595,6.36,280.777,201.482,1,1
2016/1/25,27089,29291,2202,8.13,305.607,219.3,0,0
2016/1/26,26595,30053,3458,13,308.178,221.145,0,0
2016/1/27,26946,29205,2259,8.38,310.592,222.878,0,0
2016/1/28,27249,29573,2324,8.53,311.606,223.606,0,0
2016/1/29,26931,29120,2189,8.13,311.922,223.832,0,0
2016/1/30,25706,28835,3129,12.17,301.401,216.283,0,1
2016/1/31,23620,26618,2998,12.69,271.86,195.084,1,1
2016/2/1,26578,29096.6,2518.6,9.48,294.448,224.195,0,1
2016/2/2,26843,29472,2629,9.79,302.971,230.683,0,1
2016/2/3,26603,28694,2091,7.86,300.85,229.069,0,1
2016/2/4,25990,28605,2615,10.06,295.411,224.928,0,1
2016/2/5,23766,28011,4245,17.86,276.526,210.548,0,1
2016/2/6,21847,24927,3080,14.1,247.058,188.111,1,1
2016/2/7,19544,22646,3102,15.87,222.883,169.704,1,1
2016/2/8,19297,23038,3741,19.38,213.54,162.591,1,0
2016/2/9,19097,23090,3993,20.91,212.242,161.602,1,0
2016/2/10,19431,23468,4037,20.78,215.612,164.169,1,0
2016/2/11,20515,24938,4423,21.56,225.185,171.457,1,0
2016/2/12,22169,24293,2124,9.58,240.902,183.425,1,0
2016/2/13,22303,25913,3610,16.19,245.255,186.738,1,1
2016/2/14,22334,25784,3450,15.45,248.261,189.027,1,1
2016/2/15,25509,29293,3784,14.83,280.218,213.359,0,0
2016/2/16,26477,29625,3148,11.89,297.046,226.173,0,0
2016/2/17,26608,29802,3194,12.01,299.98,228.407,0,0
2016/2/18,26740,29382,2642,9.88,301.153,229.299,0,0
2016/2/19,26526,29331,2805,10.57,301.254,229.377,0,0
2016/2/20,24647,27436,2789,11.31,283.875,216.144,1,1
2016/2/21,23892,25982,2090,8.75,267.842,203.937,1,1
2016/2/22,26406,29214,2808,10.63,294.557,224.278,0,1
2016/2/23,26790,30415,3625,13.53,302.147,230.057,0,0
2016/2/24,26917,29788,2871,10.67,305.394,232.528,0,0
2016/2/25,26971,30016,3045,11.29,305.884,232.902,0,0
2016/2/26,26706,29308,2602,9.74,304.191,231.613,0,0
2016/2/27,24411,26766,2355,9.65,281.829,214.587,1,1
2016/2/28,22926,26199,3273,14.28,260.066,198.015,1,1
2016/2/29,23504,26535,3031,12.89,264.255,201.206,1,0
2016/3/1,26354,29879,3525,13.38,298.613,209.599,0,0
2016/3/2,26497,29483,2986,11.27,304.836,213.966,0,0
2016/3/3,26646,29141,2495,9.36,306.628,215.224,0,0
2016/3/4,26427,29527,3100,11.73,307.474,215.818,0,0
2016/3/5,24470,27115,2645,10.81,288.564,202.545,1,1
2016/3/6,23542,26437,2895,12.3,271.407,190.502,1,1
2016/3/7,27304,29456,2152,7.88,307.043,215.516,0,0
2016/3/8,27654,29731,2077,7.51,319.805,224.474,0,0
2016/3/9,26907,29705,2798,10.4,317.294,222.711,0,0
2016/3/10,26784,29050,2266,8.46,314.376,220.662,0,0
2016/3/11,26528,29253,2725,10.27,311.391,218.568,0,0
2016/3/12,24511,27098,2587,10.55,292.173,205.079,1,1
2016/3/13,24224,26497,2273,9.38,277.227,194.588,1,1
2016/3/14,26676,30174,3498,13.11,304.216,213.532,0,0
2016/3/15,27319,29675,2356,8.63,315.782,221.65,0,0
2016/3/16,27042,29735,2693,9.96,315.692,221.586,0,0
2016/3/17,27370,30129,2759,10.08,316.612,222.233,0,0
2016/3/18,27816,30829,3013,10.83,322.942,226.676,0,0
2016/3/19,25529,28375,2846,11.15,304.993,214.076,1,1
2016/3/20,24119,26595,2476,10.26,281.437,197.542,1,1
2016/3/21,27353,29844,2491,9.11,309.544,217.272,0,0
2016/3/22,27449,30737,3288,11.98,317.491,222.849,0,0
2016/3/23,27273,31055,3782,13.87,319.971,224.59,0,0
2016/3/24,27102,30530,3428,12.65,315.022,221.117,0,0
2016/3/25,26600,29823,3223,12.12,313.947,220.362,0,0
2016/3/26,24112,27824,3712,15.39,286.315,200.966,1,1
2016/3/27,23701,26307,2606,11,270.214,189.665,1,1
2016/3/28,26145,28776,2631,10.06,296.779,208.312,0,1
2016/3/29,26347,29180,2833,10.75,306.254,214.962,0,1
2016/3/30,26698,29531,2833,10.61,310.441,217.901,0,0
2016/3/31,26999,30019,3020,11.19,314.404,220.682,0,0
2016/4/1,26995,30409,3414,12.65,312.646,219.232,0,0
2016/4/2,24959,28265,3306,13.25,294.438,206.464,1,1
2016/4/3,24092,27502,3410,14.15,278.92,195.583,1,1
2016/4/4,23523,26814,3291,13.99,272.195,190.868,1,0
2016/4/5,24713,27357,2644,10.7,281.428,197.341,1,0
2016/4/6,28790,31021,2231,7.75,323.066,226.538,0,0
2016/4/7,29597,31831,2234,7.55,341.29,239.318,0,0
2016/4/8,28836,31675,2839,9.84,338.093,237.076,0,0
2016/4/9,25877,29428,3551,13.72,310.529,217.748,1,1
2016/4/10,24787,27856,3069,12.38,291.419,204.347,1,1
2016/4/11,27692,29636,1944,7.02,317.229,222.445,0,0
2016/4/12,28276,31131,2855,10.1,325.801,228.456,0,0
2016/4/13,28251,30868,2617,9.26,330.042,231.43,0,0
2016/4/14,28635,30660,2025,7.07,330.043,231.432,0,0
2016/4/15,28282,31123,2841,10.05,327.056,229.337,0,0
2016/4/16,26506,28856,2350,8.86,310.897,218.006,1,1
2016/4/17,25264,27848,2584,10.23,293.836,206.042,1,1
2016/4/18,27325,31229,3904,14.29,317.782,222.834,0,0
2016/4/19,27957,31208,3251,11.63,321.359,225.342,0,0
2016/4/20,28691,31172,2481,8.65,333.098,233.574,0,0
2016/4/21,30333,32189,1856,6.12,347.572,243.722,0,0
2016/4/22,29963,32388,2425,8.09,350.015,245.435,0,0
2016/4/23,27062,31029,3967,14.66,324.412,227.483,1,1
2016/4/24,25738,28680,2942,11.43,301.984,211.755,1,1
2016/4/25,29632,32007,2375,8.01,338.771,237.552,0,0
2016/4/26,30373,32852,2479,8.16,351.746,246.65,0,0
2016/4/27,30202,32579,2377,7.87,350.954,246.094,0,0
2016/4/28,28946,32054,3108,10.74,340.334,238.647,0,0
2016/4/29,27688,31448,3760,13.58,325.163,228.01,0,0
2016/4/30,25115,28712,3597,14.33,301.027,211.084,1,1
2016/5/1,24359,27660,3301,13.55,266.064,200.403,1,1
2016/5/2,26796,31026,4230,15.79,286.766,215.996,0,0
2016/5/3,30026,33073,3047,10.15,323.355,243.556,0,0
2016/5/4,30518,32394,1876,6.15,331.122,249.406,0,0
2016/5/5,31405,33359,1954,6.22,338.723,255.132,0,0
2016/5/6,31971,33272,1301,4.07,344.832,259.733,0,0
2016/5/7,28747,32063,3316,11.53,326.42,245.864,1,1
2016/5/8,27417,30688,3271,11.93,304.913,229.665,1,1
2016/5/9,32065,33361,1296,4.04,344.06,259.151,0,0
2016/5/10,31797,34504,2707,8.51,347.755,261.935,0,0
2016/5/11,29278,33192,3914,13.37,325.03,244.818,0,0
2016/5/12,30566,32452,1886,6.17,332.188,250.209,0,0
2016/5/13,31640,33186,1546,4.89,339.851,255.98,0,0
2016/5/14,28292,31811,3519,12.44,320.346,241.289,1,1
2016/5/15,27346,30170,2824,10.33,303.024,228.242,1,1
2016/5/16,29103,32594,3491,12,318.917,240.213,0,0
2016/5/17,28435,32923,4488,15.78,311.704,234.78,0,0
2016/5/18,29708,32781,3073,10.35,319.977,241.011,0,0
2016/5/19,30228,32817,2589,8.57,326.806,246.155,0,0
2016/5/20,30557,33532,2975,9.74,330.552,248.976,0,0
2016/5/21,27163,30277,3114,11.47,306.874,231.142,1,1
2016/5/22,26378,28817,2439,9.25,288.727,217.473,1,1
2016/5/23,30776,32475,1699,5.52,328.608,247.512,0,0
2016/5/24,31057,33377,2320,7.47,338.421,254.904,0,0
2016/5/25,31459,33461,2002,6.37,340.922,256.787,0,0
2016/5/26,32223,34265,2042,6.34,348.879,262.78,0,0
2016/5/27,33124,34399,1275,3.85,357.192,269.043,0,0
2016/5/28,29766,31576,1810,6.08,338.069,254.638,1,0
2016/5/29,29555,30864,1309,4.43,324.304,244.271,1,1
2016/5/30,34081,35001,920,2.7,365.125,275.018,0,0
2016/5/31,34425,34989,564,1.64,375.438,282.785,0,0
2016/6/1,34124,35082,958,2.81,355.215,300.466,0,0
2016/6/2,32431,35094,2663,8.21,347.41,293.865,0,1
2016/6/3,33946,35874,1928,5.68,351.215,297.083,0,1
2016/6/4,34123,35596,1473,4.32,349.332,295.49,0,1
2016/6/5,28874,31574,2700,9.35,308.796,261.201,1,1
2016/6/6,31993,34682,2689,8.4,328.018,277.462,0,0
2016/6/7,32998,35130,2132,6.46,336.767,284.861,0,0
2016/6/8,33077,35115,2038,6.16,335.642,283.91,0,0
2016/6/9,27797,29973,2176,7.83,301.871,255.345,1,0
2016/6/10,27072,29718,2646,9.77,288.771,244.264,1,0
2016/6/11,26232,29496,3264,12.44,279.589,236.497,1,1
2016/6/12,26353,29721,3368,12.78,275.22,232.8,1,1
2016/6/13,30642,34374,3732,12.18,310.887,262.97,0,0
2016/6/14,31018,33997,2979,9.6,320.107,270.769,0,0
2016/6/15,33095,35588,2493,7.53,332.867,281.562,0,0
2016/6/16,33896,35781,1885,5.56,345.413,292.175,0,0
2016/6/17,34077,35612,1535,4.5,346.337,292.957,0,0
2016/6/18,30766,33626,2860,9.29,322.227,272.562,1,1
2016/6/19,29277,32053,2776,9.48,305.467,258.386,1,1
2016/6/20,34247,35690,1443,4.21,341.255,288.658,0,0
2016/6/21,34399,36067,1668,4.85,348.471,294.761,0,0
2016/6/22,35168,36432,1264,3.59,356.334,301.413,0,0
2016/6/23,35209,36275,1066,3.03,359.437,304.037,0,0
2016/6/24,35075,36314,1239,3.53,354.694,300.025,0,0
2016/6/25,31647,34068,2421,7.65,331.967,280.801,1,1
2016/6/26,29970,32151,2181,7.28,315.82,267.143,1,1
2016/6/27,35049,36248,1199,3.42,351.729,297.518,0,0
2016/6/28,35041,36440,1399,3.99,356.032,301.158,0,0
2016/6/29,34994,36559,1565,4.47,354.8,300.116,0,0
2016/6/30,34391,36255,1864,5.42,349.669,295.775,0,0
2016/7/1,34802,36962,2160,6.21,347.142,310.345,0,0
2016/7/2,31298,34415,3117,9.96,320.651,286.662,1,1
2016/7/3,28463,31785,3322,11.67,301.726,269.743,1,1
2016/7/4,34544,36193,1649,4.77,339.579,303.584,0,0
2016/7/5,35044,36886,1842,5.26,352.362,315.012,0,0
2016/7/6,35560,36653,1093,3.07,356.913,319.081,0,0
2016/7/7,34436,35717,1281,3.72,346.939,310.163,0,0
2016/7/8,27522,30859,3337,12.13,279.182,249.588,0,0
2016/7/9,28462,32781,4319,15.17,296.858,265.392,1,1
2016/7/10,27433,31004,3571,13.02,287.639,257.149,1,1
2016/7/11,32223,35848,3625,11.25,321.534,287.451,0,0
2016/7/12,33305,35793,2488,7.47,332.387,297.155,0,0
2016/7/13,33967,36211,2244,6.61,339.985,303.946,0,0
2016/7/14,34855,36787,1932,5.54,348.613,311.66,0,0
2016/7/15,35037,36996,1959,5.59,350.818,313.631,0,0
2016/7/16,31815,33537,1722,5.41,331.79,296.62,1,1
2016/7/17,29796,32295,2499,8.39,314.573,281.229,1,1
2016/7/18,34270,36347,2077,6.06,338.699,302.797,0,0
2016/7/19,34329,36525,2196,6.4,341.696,305.477,0,0
2016/7/20,34718,37024,2306,6.64,345.118,308.535,0,0
2016/7/21,35041,37262,2221,6.34,351.554,314.289,0,0
2016/7/22,35006,36899,1893,5.41,352.575,315.203,0,0
2016/7/23,31673,34321,2648,8.36,328.181,293.394,1,1
2016/7/24,29923,32119,2196,7.34,312.392,279.278,1,1
2016/7/25,34954,36279,1325,3.79,348.04,311.149,0,0
2016/7/26,35326,37267,1941,5.49,356.899,319.068,0,0
2016/7/27,35821,37364,1543,4.31,360.096,321.927,0,0
2016/7/28,36199,37422,1223,3.38,364.545,325.903,0,0
2016/7/29,35987,37012,1025,2.85,359.428,321.328,0,0
2016/7/30,32110,34085,1975,6.15,330.595,295.553,1,1
2016/7/31,30442,32163,1721,5.65,314.899,281.52,1,1
2016/8/1,34489,36461,1972,5.72,350.046,325.663,0,0
2016/8/2,34924,36600,1676,4.8,354.416,329.728,0,0
