日期,尖峰負載(MW),淨尖峰供電能力(MW),備轉容量(MW),備轉容量率(%),工業用電(百萬度),民生用電(百萬度),isHoliday,isHoliday(Next7),Week
2016-01-01,23038,25366.0,2328.0,10.11,263.79900000000004,189.3,1,0,4.0
2016-01-02,23209,25179.0,1970.0,8.49,261.975,187.99099999999999,1,1,5.0
2016-01-03,23686,26219.0,2533.0,10.69,266.16700000000003,190.99900000000002,1,1,6.0
2016-01-04,27518,29528.0,2010.0,7.31,302.22700000000003,216.875,0,0,0.0
2016-01-05,27635,29735.0,2100.0,7.6,313.328,224.84099999999998,0,0,1.0
2016-01-06,27278,30424.0,3146.0,11.53,311.17400000000004,223.296,0,0,2.0
2016-01-07,27210,30137.0,2927.0,10.76,307.244,220.475,0,0,3.0
2016-01-08,26400,28713.0,2313.0,8.76,304.04900000000004,218.183,0,0,4.0
2016-01-09,24308,27127.0,2819.0,11.6,282.14099999999996,202.46099999999998,1,1,5.0
2016-01-10,23490,25374.0,1884.0,8.02,267.17,191.718,1,1,6.0
2016-01-11,27207,28904.0,1697.0,6.24,302.529,217.09099999999998,0,0,0.0
2016-01-12,26747,30325.0,3578.0,13.38,304.97,218.84400000000002,0,0,1.0
2016-01-13,26951,30162.0,3211.0,11.91,307.894,220.942,0,0,2.0
2016-01-14,26898,30778.0,3880.0,14.43,307.045,220.332,0,0,3.0
2016-01-15,26797,29930.0,3133.0,11.69,307.694,220.799,0,0,4.0
2016-01-16,23911,26768.0,2857.0,11.95,275.077,197.392,1,1,5.0
2016-01-17,23956,26311.0,2355.0,9.83,271.721,194.984,1,1,6.0
2016-01-18,26443,29689.0,3246.0,12.27,295.183,211.82,0,0,0.0
2016-01-19,26937,30024.0,3087.0,11.46,305.449,219.188,0,0,1.0
2016-01-20,27038,29909.0,2871.0,10.62,307.466,220.63400000000001,0,0,2.0
2016-01-21,27091,29817.0,2726.0,10.06,309.751,222.275,0,0,3.0
2016-01-22,26563,29264.0,2701.0,10.17,307.307,220.521,0,0,4.0
2016-01-23,24997,27046.0,2049.0,8.2,290.329,208.338,1,0,5.0
2016-01-24,25062,26657.0,1595.0,6.36,280.777,201.482,1,1,6.0
2016-01-25,27089,29291.0,2202.0,8.13,305.607,219.3,0,0,0.0
2016-01-26,26595,30053.0,3458.0,13.0,308.178,221.145,0,0,1.0
2016-01-27,26946,29205.0,2259.0,8.38,310.592,222.878,0,0,2.0
2016-01-28,27249,29573.0,2324.0,8.53,311.606,223.606,0,0,3.0
2016-01-29,26931,29120.0,2189.0,8.13,311.922,223.832,0,0,4.0
2016-01-30,25706,28835.0,3129.0,12.17,301.401,216.283,0,1,5.0
2016-01-31,23620,26618.0,2998.0,12.69,271.86,195.084,1,1,6.0
2016-02-01,26578,29096.6,2518.6,9.48,294.448,224.195,0,1,0.0
2016-02-02,26843,29472.0,2629.0,9.79,302.971,230.683,0,1,1.0
2016-02-03,26603,28694.0,2091.0,7.86,300.85,229.06900000000002,0,1,2.0
2016-02-04,25990,28605.0,2615.0,10.06,295.411,224.928,0,1,3.0
2016-02-05,23766,28011.0,4245.0,17.86,276.526,210.548,0,1,4.0
2016-02-06,21847,24927.0,3080.0,14.1,247.058,188.111,1,1,5.0
2016-02-07,19544,22646.0,3102.0,15.87,222.88299999999998,169.704,1,1,6.0
2016-02-08,19297,23038.0,3741.0,19.38,213.54,162.591,1,0,0.0
2016-02-09,19097,23090.0,3993.0,20.91,212.24200000000002,161.602,1,0,1.0
2016-02-10,19431,23468.0,4037.0,20.78,215.612,164.169,1,0,2.0
2016-02-11,20515,24938.0,4423.0,21.56,225.185,171.457,1,0,3.0
2016-02-12,22169,24293.0,2124.0,9.58,240.90200000000002,183.425,1,0,4.0
2016-02-13,22303,25913.0,3610.0,16.19,245.255,186.738,1,1,5.0
2016-02-14,22334,25784.0,3450.0,15.45,248.261,189.02700000000002,1,1,6.0
2016-02-15,25509,29293.0,3784.0,14.83,280.218,213.359,0,0,0.0
2016-02-16,26477,29625.0,3148.0,11.89,297.046,226.173,0,0,1.0
2016-02-17,26608,29802.0,3194.0,12.01,299.98,228.407,0,0,2.0
2016-02-18,26740,29382.0,2642.0,9.88,301.153,229.299,0,0,3.0
2016-02-19,26526,29331.0,2805.0,10.57,301.254,229.377,0,0,4.0
2016-02-20,24647,27436.0,2789.0,11.31,283.875,216.144,1,1,5.0
2016-02-21,23892,25982.0,2090.0,8.75,267.842,203.937,1,1,6.0
2016-02-22,26406,29214.0,2808.0,10.63,294.557,224.278,0,1,0.0
2016-02-23,26790,30415.0,3625.0,13.53,302.147,230.05700000000002,0,0,1.0
2016-02-24,26917,29788.0,2871.0,10.67,305.394,232.528,0,0,2.0
2016-02-25,26971,30016.0,3045.0,11.29,305.884,232.90200000000002,0,0,3.0
2016-02-26,26706,29308.0,2602.0,9.74,304.191,231.613,0,0,4.0
2016-02-27,24411,26766.0,2355.0,9.65,281.829,214.58700000000002,1,1,5.0
2016-02-28,22926,26199.0,3273.0,14.28,260.066,198.015,1,1,6.0
2016-02-29,23504,26535.0,3031.0,12.89,264.255,201.206,1,0,0.0
2016-03-01,26354,29879.0,3525.0,13.38,298.613,209.59900000000002,0,0,1.0
2016-03-02,26497,29483.0,2986.0,11.27,304.836,213.96599999999998,0,0,2.0
2016-03-03,26646,29141.0,2495.0,9.36,306.628,215.22400000000002,0,0,3.0
2016-03-04,26427,29527.0,3100.0,11.73,307.474,215.81799999999998,0,0,4.0
2016-03-05,24470,27115.0,2645.0,10.81,288.564,202.545,1,1,5.0
2016-03-06,23542,26437.0,2895.0,12.3,271.407,190.502,1,1,6.0
2016-03-07,27304,29456.0,2152.0,7.88,307.043,215.516,0,0,0.0
2016-03-08,27654,29731.0,2077.0,7.51,319.805,224.47400000000002,0,0,1.0
2016-03-09,26907,29705.0,2798.0,10.4,317.29400000000004,222.71099999999998,0,0,2.0
2016-03-10,26784,29050.0,2266.0,8.46,314.376,220.662,0,0,3.0
2016-03-11,26528,29253.0,2725.0,10.27,311.39099999999996,218.56799999999998,0,0,4.0
2016-03-12,24511,27098.0,2587.0,10.55,292.173,205.079,1,1,5.0
2016-03-13,24224,26497.0,2273.0,9.38,277.22700000000003,194.588,1,1,6.0
2016-03-14,26676,30174.0,3498.0,13.11,304.216,213.532,0,0,0.0
2016-03-15,27319,29675.0,2356.0,8.63,315.782,221.65,0,0,1.0
2016-03-16,27042,29735.0,2693.0,9.96,315.692,221.58599999999998,0,0,2.0
2016-03-17,27370,30129.0,2759.0,10.08,316.612,222.233,0,0,3.0
2016-03-18,27816,30829.0,3013.0,10.83,322.942,226.676,0,0,4.0
2016-03-19,25529,28375.0,2846.0,11.15,304.993,214.076,1,1,5.0
2016-03-20,24119,26595.0,2476.0,10.26,281.437,197.542,1,1,6.0
2016-03-21,27353,29844.0,2491.0,9.11,309.54400000000004,217.27200000000002,0,0,0.0
2016-03-22,27449,30737.0,3288.0,11.98,317.491,222.84900000000002,0,0,1.0
2016-03-23,27273,31055.0,3782.0,13.87,319.971,224.59,0,0,2.0
2016-03-24,27102,30530.0,3428.0,12.65,315.022,221.11700000000002,0,0,3.0
