日期,縣市,800KW以上售電量(度),800KW以上抄表戶數,800KW以上用電佔比(%),小於800KW售電量(度),小於800KW抄表戶數,小於800KW用電佔比(%),合計
2019年08月,新北市,250931618,216,0.4961,254838121,14803,0.5039,505769739
2019年08月,台北市,24635300,27,0.4891,25733622,2015,0.5109,50368922
2019年08月,桃園市,1362802265,746,0.8311,276948830,7205,0.1689,1639751095
2019年08月,台中市,1377707753,417,0.8354,271459494,12334,0.1646,1649167247
2019年08月,台南市,1484877960,414,0.873,216007718,10666,0.127,1700885678
2019年08月,高雄市,1328245470,539,0.89,164172184,6112,0.11,1492417654
2019年08月,宜蘭縣,107648004,62,0.7816,30071670,1241,0.2184,137719674
2019年08月,新竹縣,611194390,225,0.9115,59321895,1720,0.0885,670516285
2019年08月,苗栗縣,388150376,140,0.9,43137057,1286,0.1,431287433
2019年08月,彰化縣,347744768,293,0.6518,185809035,15802,0.3482,533553803
2019年08月,南投縣,72575850,92,0.7065,30145028,1148,0.2935,102720878
2019年08月,雲林縣,219266148,93,0.8328,44037331,2390,0.1672,263303479
2019年08月,嘉義縣,48729020,64,0.542,41179924,1987,0.458,89908944
2019年08月,屏東縣,64973928,123,0.6269,38669661,1684,0.3731,103643589
2019年08月,台東縣,8034201,3,0.7677,2430694,332,0.2323,10464895
2019年08月,花蓮縣,66507144,17,0.8575,11051228,568,0.1425,77558372
2019年08月,基隆市,9947890,15,0.5137,9416519,362,0.4863,19364409
2019年08月,新竹市,684142872,126,0.9545,32606118,1545,0.0455,716748990
2019年08月,嘉義市,2703792,5,0.3531,4954192,558,0.6469,7657984
2019年08月,澎湖縣,1708000,1,0.4118,2439415,253,0.5882,4147415
2019年08月,金門縣,2139400,3,0.5579,1695051,286,0.4421,3834451
2019年08月,連江縣,0,0,0,728902,59,1,728902
2019年08月,合計,8464666149,3621,0.8289,1746853689,84356,0.1711,10211519838
2019年07月,新北市,252634596,216,0.5155,237465050,14531,0.4845,490099646
2019年07月,台北市,23976100,26,0.5001,23969022,2009,0.4999,47945122
2019年07月,桃園市,1369504288,739,0.8406,259626812,6913,0.1594,1629131100
2019年07月,台中市,1402374942,414,0.8398,267592524,12310,0.1602,1669967466
2019年07月,台南市,1482481023,414,0.8732,215310596,10621,0.1268,1697791619
2019年07月,高雄市,1313321681,538,0.8875,166476941,6096,0.1125,1479798622
2019年07月,宜蘭縣,109144533,61,0.7842,30028650,1209,0.2158,139173183
2019年07月,新竹縣,620709509,225,0.9143,58156102,1717,0.0857,678865611
2019年07月,苗栗縣,382701584,141,0.8951,44842521,1278,0.1049,427544105
2019年07月,彰化縣,364605960,294,0.6698,179725440,15805,0.3302,544331400
2019年07月,南投縣,74506828,93,0.7149,29706360,1116,0.2851,104213188
2019年07月,雲林縣,216691004,93,0.8344,43018035,2357,0.1656,259709039
2019年07月,嘉義縣,50595760,64,0.5666,38707086,1956,0.4334,89302846
2019年07月,屏東縣,65925936,119,0.6333,38166376,1663,0.3667,104092312
2019年07月,台東縣,8504257,3,0.7668,2585871,332,0.2332,11090128
2019年07月,花蓮縣,70932124,17,0.8645,11118871,548,0.1355,82050995
2019年07月,基隆市,10409977,15,0.5329,9124011,362,0.4671,19533988
2019年07月,新竹市,682260481,126,0.9555,31778936,1544,0.0445,714039417
2019年07月,嘉義市,2701992,5,0.3934,4165489,555,0.6066,6867481
2019年07月,澎湖縣,1678800,1,0.4082,2433537,252,0.5918,4112337
2019年07月,金門縣,2509200,3,0.611,1597320,285,0.389,4106520
2019年07月,連江縣,0,0,0,670500,59,1,670500
2019年07月,合計,8508170575,3607,0.8338,1696266050,83518,0.1662,10204436625
2019年06月,新北市,231336402,215,0.5121,220397655,14475,0.4879,451734057
2019年06月,台北市,22902900,27,0.5104,21970066,2006,0.4896,44872966
2019年06月,桃園市,1293057050,742,0.8457,235918575,6887,0.1543,1528975625
2019年06月,台中市,1317413875,409,0.8417,247860243,12249,0.1583,1565274118
2019年06月,台南市,1400775520,412,0.8744,201240210,10614,0.1256,1602015730
2019年06月,高雄市,1285212321,538,0.8924,154893708,6093,0.1076,1440106029
2019年06月,宜蘭縣,101917481,60,0.8015,25235142,1188,0.1985,127152623
2019年06月,新竹縣,585163438,224,0.9102,57726479,1717,0.0898,642889917
2019年06月,苗栗縣,363316248,142,0.9034,38867575,1277,0.0966,402183823
2019年06月,彰化縣,339001044,290,0.6668,169411720,15807,0.3332,508412764
2019年06月,南投縣,68097420,91,0.7207,26384840,1106,0.2793,94482260
2019年06月,雲林縣,208157660,92,0.8391,39903382,2355,0.1609,248061042
2019年06月,嘉義縣,46889540,63,0.557,37298966,1947,0.443,84188506
2019年06月,屏東縣,60267320,115,0.6277,35741897,1622,0.3723,96009217
2019年06月,台東縣,7642700,3,0.7701,2282112,331,0.2299,9924812
2019年06月,花蓮縣,72515044,16,0.884,9514589,539,0.116,82029633
2019年06月,基隆市,9241825,15,0.5283,8251746,360,0.4717,17493571
2019年06月,新竹市,644746855,126,0.9563,29430904,1546,0.0437,674177759
2019年06月,嘉義市,2589432,5,0.3966,3939885,554,0.6034,6529317
2019年06月,澎湖縣,1435200,1,0.3547,2611308,252,0.6453,4046508
2019年06月,金門縣,2453000,3,0.6153,1533512,281,0.3847,3986512
2019年06月,連江縣,0,0,0,640196,59,1,640196
2019年06月,合計,8064132275,3589,0.8369,1571054710,83265,0.1631,9635186985
2019年05月,新北市,239439612,220,0.518,222812395,14456,0.482,462252007
2019年05月,台北市,23360100,28,0.5229,21312969,2007,0.4771,44673069
2019年05月,桃園市,1336576517,744,0.8451,244986727,6869,0.1549,1581563244
2019年05月,台中市,1367198820,406,0.8417,257186794,12241,0.1583,1624385614
2019年05月,台南市,1441249179,413,0.8713,212870962,10606,0.1287,1654120141
2019年05月,高雄市,1332180693,538,0.885,173066635,6074,0.115,1505247328
2019年05月,宜蘭縣,99627116,61,0.7947,25740672,1183,0.2053,125367788
2019年05月,新竹縣,587204904,224,0.9175,52788681,1717,0.0825,639993585
2019年05月,苗栗縣,398600830,142,0.9002,44176914,1277,0.0998,442777744
2019年05月,彰化縣,361895468,289,0.6713,177173453,15803,0.3287,539068921
